219.0,5.0,224.0,0.74957037,0.42662662,0.14861383,0.31824625,10.0,29.172134,3.6978068,1.553131,0.12478447,2715.6216,108.16654,502.89163
309.0,11.0,186.0,0.3343574,0.12230837,-0.026340343,0.20633869,20.0,28.290949,4.9143434,1.3242773,0.092519365,5173.4126,123.69317,1804.245
261.0,7.0,351.0,0.5716946,0.3489611,0.12884529,0.337375,20.0,29.321945,3.2674217,1.6616362,0.092908464,8688.044,724.9828,228.47319
608.0,7.0,212.0,0.69527894,0.46840146,0.23755173,0.4296431,20.0,29.56344,3.107722,1.506164,0.11234418,8537.57,1980.2273,566.0389
84.0,2.0,180.0,0.6099089,0.3922679,0.18631975,0.38054293,10.0,25.80458,9.37214,0.0,0.09962424,6539.7935,829.759,330.0
227.0,6.0,192.0,0.79048043,0.5389027,0.3072426,0.6232464,10.0,29.876532,3.6942215,1.5641282,0.11131684,8927.811,268.32816,161.55495
7.0,2.0,148.0,0.53692615,0.26346013,0.111512095,0.37499782,10.0,29.560339,3.5409033,1.1706274,0.091914095,4656.576,1822.3611,60.0
513.0,20.0,312.0,0.8058841,0.65205324,0.3992949,0.5106865,10.0,28.990576,3.9539373,1.2365004,0.09462786,7125.6787,1800.25,1726.76
253.0,27.0,29.0,0.79639417,0.5824206,0.32378882,0.48259494,10.0,28.712439,4.187401,1.4057499,0.102149405,5221.2065,2430.7407,2588.0107
355.0,17.0,296.0,0.7888691,0.5893014,0.33353016,0.40229884,10.0,28.623755,3.6677933,1.4654573,0.1269807,4421.5156,458.91174,295.46573
20.0,1.0,270.0,0.4073276,0.20776817,0.061021857,0.27218613,10.0,29.026373,4.6508985,0.7956448,0.06946937,5775.0586,94.86833,30.0
423.0,15.0,224.0,0.728403,0.43629143,0.21651337,0.42136908,10.0,27.002405,3.4355767,1.6700162,0.1134394,13765.293,416.77332,530.75415
379.0,16.0,321.0,0.7107544,0.5028079,0.26305854,0.45318672,10.0,27.594223,5.692454,1.2064272,0.0752236,4125.7363,192.09373,1268.8972
25.0,2.0,232.0,0.7674699,0.56213397,0.31569508,0.5538649,30.0,27.065668,7.904691,0.0,0.106678724,3037.2686,169.70563,67.08204
68.0,1.0,90.0,0.3362092,-0.0062161777,-0.09743216,0.20808998,30.0,29.53804,4.159231,1.6023039,0.12302581,6666.7534,161.55495,60.0
151.0,11.0,289.0,0.54938084,0.31336406,0.076826215,0.32301027,10.0,25.80458,9.37214,0.0,0.09962424,7180.5986,150.0,641.3267
342.0,4.0,328.0,0.6593521,0.44265276,0.21313982,0.4522325,10.0,25.961014,9.197209,0.0,0.12506151,4949.2725,2556.345,1444.9913
337.0,12.0,249.0,0.5947657,0.36357075,0.13818033,0.38243702,30.0,26.323328,8.711996,0.0,0.1046834,2400.1875,67.08204,632.8507
18.0,3.0,23.0,0.3844156,0.16523954,0.05858988,0.28253263,40.0,29.962683,3.3138762,1.6462935,0.09504954,8323.852,152.97058,0.0
324.0,5.0,308.0,0.33450738,0.18382224,0.043052677,0.26982024,10.0,27.3476,3.7124271,1.2556169,0.118106045,4412.346,30.0,339.41125
314.0,4.0,285.0,0.3631194,0.25810683,0.10942147,0.30174157,10.0,28.623755,3.6677933,1.4654573,0.1269807,4630.5073,212.13203,108.16654
595.0,6.0,203.0,0.6437536,0.4278989,0.20590083,0.39740115,10.0,27.884405,4.5716577,1.247612,0.100264944,8419.958,120.0,268.32816
168.0,6.0,168.0,0.6030166,0.43893853,0.24654,0.3794609,10.0,28.290949,4.9143434,1.2036264,0.092519365,3744.3557,60.0,403.60873
540.0,6.0,157.0,0.38613865,0.15593301,-0.015174356,0.25110376,30.0,26.732214,3.6469858,1.6565144,0.12120175,212.13203,120.0,152.97058
88.0,24.0,113.0,0.55312693,0.32573208,0.12316138,0.34135193,10.0,25.961014,9.197209,0.0,0.12506151,210.0,212.13203,2206.173
225.0,6.0,192.0,0.6997389,0.488,0.24321379,0.36835596,10.0,25.961014,9.197209,0.0,0.12506151,4191.0977,2906.9055,1081.6654
44.0,6.0,168.0,0.43761435,0.28688446,0.14049022,0.33386442,40.0,30.450994,2.9015148,1.6552911,0.12334856,4121.371,364.96576,0.0
2.0,2.0,90.0,0.49743867,0.24977498,0.03368694,0.30188495,30.0,29.026373,4.6508985,1.218352,0.06946937,840.5355,726.2231,94.86833
472.0,18.0,220.0,0.6817304,0.5707071,0.35540104,0.48996928,30.0,29.3936,3.508863,1.2744759,0.1005764,11107.174,1871.096,1991.1052
979.0,22.0,317.0,0.58156025,0.37796086,0.1872227,0.29395363,10.0,26.514551,3.3673291,3.335489,0.12678504,18353.725,1678.3921,912.41437
117.0,17.0,152.0,0.48390558,0.36323315,0.1359343,0.31258667,30.0,28.963984,6.241103,1.2821177,0.08765777,2751.1816,510.0,403.60873
64.0,6.0,90.0,0.65045285,0.3820225,0.13809857,0.3549072,10.0,28.033585,6.629438,1.1935197,0.12310767,394.58838,902.4965,1358.3077
225.0,9.0,299.0,0.24852942,0.1279894,0.05161025,0.19388145,10.0,29.876532,3.6942215,1.7019627,0.11131684,1236.9316,366.19666,735.45905
178.0,7.0,331.0,0.62126356,0.40900367,0.1877566,0.35027575,10.0,29.172134,3.6978068,1.5324684,0.12478447,4962.62,30.0,210.0
381.0,19.0,139.0,0.65457183,0.41985303,0.19810824,0.41112122,20.0,25.80458,9.37214,0.0,0.09962424,2771.8767,1484.9242,1179.5762
568.0,10.0,312.0,0.7869725,0.5512091,0.28218693,0.38340253,10.0,26.514551,3.3673291,3.2942584,0.12678504,10124.989,1843.9631,684.76276
261.0,3.0,203.0,0.5469275,0.31531063,0.08281615,0.32524905,10.0,28.623755,3.6677933,1.5341239,0.1269807,7403.4385,150.0,247.38634
375.0,7.0,105.0,0.63349664,0.38986585,0.17381741,0.39245814,20.0,29.560339,3.5409033,1.1706274,0.091914095,4817.686,3438.3718,764.8529
1.0,0.0,0.0,0.3406058,0.11645888,-0.03435595,0.2310878,40.0,29.026373,4.6508985,1.2938937,0.06946937,1539.3829,390.0,0.0
