id,Label,elevation,slope,aspect,ndvi_before,nbr_before,ndmi_before,evi_before,land_cover,temperature,wind_speed,precipitation,soil_moisture,distance_to_water,distance_to_builtup,distance_to_cropland,ndvi_after,nbr_after,dnbr,longitude,latitude
1_804_0,1,445.0,25.0,24.0,0.32437932,0.30669612,0.13985461,0.25426298,10.0,27.3476,3.7124271,1.2239693,0.118106045,8502.765,750.0,335.4102,0.32597136,0.2931791,0.013517029,27.27879165212508,38.41375735878941
1_805_0,1,6.0,1.0,0.0,0.479835,0.44603673,0.20958982,0.30791402,40.0,29.026373,4.6508985,0.7956448,0.06946937,6641.4604,720.62476,0.0,0.024054965,-0.15313414,0.59917086,27.002829196843578,38.5369163842422
1_807_0,1,209.0,2.0,0.0,0.5452917,0.3858864,0.18145362,0.36601287,10.0,26.30217,3.420451,1.9285188,0.12253618,20326.146,662.7217,123.69317,0.3225689,0.20709142,0.17879498,27.466359883449257,38.39273678114101
1_816_0,1,171.0,2.0,0.0,0.46892652,0.33348528,0.14739627,0.31746703,40.0,30.002497,4.1942806,1.5513697,0.09371034,6359.434,120.0,0.0,0.15306197,0.088278666,0.24520661,27.241331904777297,38.044010787845814
1_817_0,1,178.0,6.0,348.0,0.5294488,0.28109747,0.06854439,0.31006178,10.0,26.323328,8.711996,0.0,0.1046834,5864.827,2161.8743,323.1099,0.38767123,0.16183051,0.11926695,26.613679015762983,38.255564037255965
1_818_0,1,0.0,1.0,270.0,0.54804146,0.24468368,0.036306567,0.306451,30.0,29.793045,3.8518844,1.5538201,0.10335485,424.26407,536.6563,127.27922,0.33141375,0.07660068,0.16808301,27.26558641744853,37.96774382022407
1_821_0,1,669.0,21.0,97.0,0.59733033,0.38276362,0.17874,0.39030418,30.0,27.3476,3.7124271,1.6218368,0.118106045,13479.585,768.9603,1644.5364,0.47716895,0.2791301,0.10363352,27.341853385070266,38.414835337130356
1_823_0,1,203.0,17.0,151.0,0.5107165,0.27394786,0.08463401,0.30524853,20.0,29.560339,3.5409033,1.1706274,0.091914095,4752.61,3444.256,1243.101,0.44409424,0.19602238,0.07792548,27.36583840315626,38.01247992137322
1_829_0,1,146.0,0.0,0.0,0.25420374,0.09357483,-0.020281985,0.17664443,40.0,26.578323,3.5659773,4.393641,0.11990992,22145.305,90.0,0.0,0.7210996,0.48489764,-0.39132282,27.446417284141802,38.4339694526821
1_82_0,1,89.0,15.0,280.0,0.55934536,0.32314157,0.08695235,0.3654942,20.0,26.963556,9.842782,0.0,0.033910353,3085.1904,361.24783,276.58633,0.41287324,0.24471754,0.07842404,26.335291109214353,38.25798948852308
